date,name,href,article,comments
"Wed, Jul. 01",Tesla rallies more to become the most valuable automaker,https://seekingalpha.com/news/3587760-tesla-rallies-to-become-valuable-automaker?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:11,"Tesla (NASDAQ:TSLA) is up 3.05% to $1,112.61 and now trades with a higher market cap than Japanese automaker Toyota (TM -0.7%).
That makes Tesla the most valuable automaker at the moment and caps off the 10-year run that went into Ludracious mode over the last six months.
Next on the dance card for Tesla is the Q2 deliveries report to be followed in a few weeks by the company's earnings report.
Now read: Lessons From History: 2000 »",error
"Tue, Jun. 30",Tesla investors frontrun deliveries report potential SP 500 inclusion,https://seekingalpha.com/news/3587442-tesla-investors-frontrun-deliveries-report-potential-s-and-p-500-inclusion?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:12,"Tesla (NASDAQ:TSLA) has motored right past the $200B market cap mark with a 6.88% push higher today.
Expectations are high that Tesla will top the early forecast for Q2 deliveries of around 65K units and could be close to a break-even quarter.
The EV stock may also be getting a little push higher today from Barron's talking up the potential for S&P 500 Index inclusion for Tesla.
""Inclusion in the S&P 500 might push shares higher into, and after, the second quarter Tesla delivery report, due in coming days. S&P 500 index funds might start to prepare for index inclusion if deliveries beat estimates. The magnitude of any bump from technical factors such as index inclusion are tough to size,"" writes Al Root.
""Tesla not being in the index is, frankly, a little odd. It's the second-largest car company in the world by market capitalization, trailing only Toyota Motor,"" he notes.
Now read: Nationwide protests force retail closures »",error
"Tue, Jun. 30",Germany called a bright spot for Tesla,https://seekingalpha.com/news/3587359-germany-called-bright-spot-for-tesla?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:13,"Oppenheimer keeps an Outperform rating on Tesla (TSLA +1.6%) in front of the company's Q2 deliveries update and Q3 production ramp.
""We believe depth of demand, pricing, and manufacturing margins are the key concerns short term for investors on TSLA shares. With Germany implementing incremental support for EV purchases and our understanding that all Model 3’s will qualify for the full €9K incentive, Germany could prove a bright spot for demand and margins,"" writes analyst Colin Rusch.
Rusch says the firm is also looking for strong sell through in China where overall vehicle demand is proving strong and the recent price actions should help facilitate volume.
Oppenheimer expects Tesla'a Q2 deliveries tally to be in line or ahead of consensus for 68.3K vehicles.
Looking further down the road, Oppy sees 2021 EPS of $10.90 out of Tesla vs $12.87 consensus.
Now read: More on Alimentation Couche-Tard Q4 results »",error
"Tue, Jun. 30",Breaking even is looking super tight  Musk,https://seekingalpha.com/news/3587191-breaking-even-is-looking-super-tight-musk?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:14,"""Breaking even is looking super tight. Really makes a difference for every car you build and deliver. Please go all out to ensure victory!"" Elon Musk wrote in an email to employees on Monday.
It's not clear whether ""breaking even"" refers to the company’s profit margin, or another metric, like production numbers.
Tesla (NASDAQ:TSLA) is expected to report its Q2 vehicle output and delivery figures this week, while a profit would be a major surprise for Wall Street, which is currently estimating a quarterly loss of $1.45 per share.
Turning a profit for Q2 would also see the company eligible for inclusion on the S&P 500, which requires a minimum of four consecutive quarters of profitability.
Fun fact: Tesla went public ten years ago, pricing shares at $17 on June 29, 2010. The decade has seen the stock rise more than 5800%.
Now read: Shell to write down up to $22B of assets in Q2 »",error
"Mon, Jun. 29",EV pickups look for mainstream appeal,https://seekingalpha.com/news/3587122-ev-pickups-look-for-mainstream-appeal?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:15,"Wedbush Securities says the question of if Tesla (NASDAQ:TSLA) and Nikola (NASDAQ:NKLA) will be major players in the pickup market with their 2022 entrance will be an intriguing one as orders continue to be tabulated.
""Investors will question if this is a mass market pickup for both Tesla and Nikola going after Ford and GM with ~3 million pickup trucks sold annually in the US, or a more niche 'wow factor' model that will be more limited in demand/production scale and scope,"" writes analyst Dan Ives.
Ives thinks gauging pre-order activity and the trajectory for Badger over the next 3 to 6 months will be another key data point for investors to get their arms around the potential adoption curve of the EV truck market as they consider the share price of both companies.
The biggest target for the EV upstarts is pickup leader Ford (NYSE:F), which sells roughly 1M F-150s per year.
Nikola ended the day up 6.33% after starting to take Badger reservations, while Tesla is back over $1,000 with a 5.17% gain.
Now read: Lululemon +4% after acquiring at-home fitness player Mirror »",error
"Mon, Jun. 29",EV names lead auto sector higher,https://seekingalpha.com/news/3586938-ev-names-lead-auto-sector-higher?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:16,"Electric vehicle players Workhorse Group (WKHS +34.6%), Kandi Technologies (KNDI +12.6%), Electrameccanica Vehicles (SOLO +14.5%), Nikola (NKLA +10.6%), Tesla (TSLA +2.4%) and Nio (NIO +2.0%) are all higher on the day as investors keep flooding into EV-related names.
General Motors (GM +2.7%) and Ford (F +1.8%) are also starting off the week on a positive note, while there are broad gains across the auto supplier sector. Early advancers include Commercial Vehicle Group (CVGI +11.7%), Garrett Motion (GTX +8.3%), American Axle & Manufacturing (AXL +9.8%), Modine Manufacturing (MOD +6.1%), China Automotive Systems (CAAS +7.4%), Dana (DAN +8.9%) and Goodyear Tire & Rubber (GT +8.0%), Meritor (MTOR +6.8%) and Tenneco (TEN +8.1%). Sentiment has improved as manufacturers have bounce back from their shutdown period with output higher than some analysts anticipated.
The momentum trade in the EV sector has been going on for a few weeks.
See all stocks on the move »",error
"Mon, Jun. 29",Tesla seen topping Q2 deliveries expectations,https://seekingalpha.com/news/3586805-tesla-seen-topping-q2-deliveries-expectations?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:17,"Credit Suisse updates its forecast for Tesla's (NASDAQ:TSLA) Q2 deliveries and production tallies.
""Amid recent reports of a very robust June for Tesla sales, 2Q deliveries could be in the range of 90-100k, vs. sell-side consensus 70k and likely buyside consensus in the 80k range. While expectations have clearly risen, to the extent Tesla posts 2Q deliveries in the 90-100k range, we believe it would be a positive for the stock,"" updates analyst Dan Levy.
Levy sees Tesla's Q2 deliveries comprising about 31K from China, just under 35K from Fremont and around 25K from the global inventory coming into the quarter.
He forecasts Tesla produced about 76K to 88K units during the quarter, and also says a profitable quarter for Tesla is less of a radical idea than it was a few weeks ago.
Shares of Tesla are up 0.85% premarket to $967.85.
Now read: Keep The Faith In Canon »",error
"Sun, Jun. 28",Sector Watch Can Tesla deliveries lead autos as incentives wane,https://seekingalpha.com/news/3586733-sector-watch-can-tesla-deliveries-lead-autos-incentives-wane?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:18,"This is a holiday week, but unlike any other, so digging into past July 4th week performances may not be that helpful. 
Usually, the day before Independence Day is low on volume, a combination of investors leaving work early to get a jump on the holiday and those taking more time off to travel to see friends and relatives. But with many working remotely, there’s no traffic to beat, and staycations will likely be the order of the day.
Focus would also be on gas prices and demand as the summer driving season hits high gear. Still, the week does provide some catalysts for the auto sector.
June auto and truck sales arrive on Wednesday, and reopening in some states could juice the expected recovery some. J.D. Power and LMC Automotive predict that total vehicle sales this month fell 25%, a smaller decline than 29% in May and the low drop of 40% for April.
A problem to the rebound could be incentives drying up, with automakers able to only offer so much. Incentives are on a pace to hit $4,411, which would be a record for June and up $445 from the same month a year ago.
The same day, Tesla (NASDAQ:TSLA) will report its quarterly deliveries - one of the toughest periods to gauge given that factories were shut and then started up again. The consensus is for 69K in Q2, but analysts have been upping their forecasts.
“Investors would like to see actual numbers out of China, although management might not provide that much transparency,” Bill Maurer wrote on Seeking Alpha Friday. 
Maurer forecasts 89,830 vehicles delivered, which would be “a decline of more than 6,000 vehicles over Q2 2019, despite Tesla having opened the Shanghai factory since then, as well as launching the Model Y this year.”
Thanks mainly to Tesla, the First Trust Nasdaq Global Auto Index Fund (NASDAQ:CARZ) is up more than 50% from its April lows of the year.
Lucky Numbers?
Casino stocks were one of the first groups affected when COVID-19 began to spread from Wuhan, and they are still feeling the swings of the pandemic more than most. 
The group took the brunt of the rollback on reopening measures in some states. Nevada was not among them, but the state decided to require masks after a spike in cases.
With shares whipsawed between optimism on reopening and pessimism about a second wave of COVID-19, any solid data could help direction.
On Tuesday, the Nevada Gaming Control Board issues its monthly report on revenue and collections, also known as the win report. May saw a plunge of 99.6% in gaming win to about $3.65M. With casinos only reopening in June, a similarly dismal number is expected, but it can give investors some insight into how the companies managed their digital sports betting operations to get some revenue.
On Wednesday the numbers from Macau arrive. Those casinos have remained open aside from a mandatory shutdown in February. But revenue and activity have been way down due to the two-week quarantine required for visitors to the island. This month, Macau ordered that travelers from Beijing cannot self-quarantine but must go to official quarantine locations, due to the spike of cases in the city.
Wynn (NASDAQ:WYNN) dropped 17% last week, MGM (NYSE:MGM) fell 12%, Las Vegas Sands (NYSE:LVS) shed 6%, Caesars (NASDAQ:CZR) dropped 2.6%.
Now read: Zoom's Stock May Be About To Pop »",error
"Fri, Jun. 26",Bezos a copycat  Elon Musk comments on Amazons Zoox purchase,https://seekingalpha.com/news/3586613-bezos-copycat-elon-musk-comments-on-amazons-zoox-purchase?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:19,"Amazon (AMZN -0.3%) this morning got into the self-driving car business with its $1.2B+ purchase of Zoox.
Tesla (TSLA -1.8%) boss Elon Musk minutes ago took to Twitter, lightheartedly calling Jeff Bezos a copycat.
Or maybe not lightheartedly. The two are also competitors in the space game, with Bezos' Blue Origin and Musk's SpaceX. And Musk three weeks ago called for Amazon to be broken up.
Now read: Tesla V2G Technology Could Dramatically Increase Demand And Sales Of All Models »",error
"Fri, Jun. 26",Amazon drives into autonomous vehicle chase with Zoox acquisition,https://seekingalpha.com/news/3586522-amazon-drives-autonomous-vehicle-chase-zoox-acquisition?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:20,"Amazon (AMZN +0.2%) confirms a deal to acquire Zoox in a bid to design autonomous ride-hailing vehicles from the ground up. The transaction was previously reported to be at north of $1.2B
The company says Zoox CEO Aicha Evans and Zoox CTO Jesse Levinson will continue to lead the startup as a standalone business.
""Zoox is working to imagine, invent, and design a world-class autonomous ride-hailing experience,"" says Amazon Worldwide Consumer CEO Jeff Wilke.
The development will be closely watched by the EV universe, including at Alphabet's (NASDAQ:GOOGL) Waymo, General Motors' (NYSE:GM) Cruise, Tesla (NASDAQ:TSLA) and Uber (NYSE:UBER).
Previously: Amazon to buy Zoox for over $1B (June 26)
Now read: Questions Remain, But This May Now Be The Time For The Tesla Semi »",error
"Thu, Jun. 25",Tesla workers claim they were terminated for safety complaints,https://seekingalpha.com/news/3586227-tesla-workers-claim-terminated-for-safety-complaints?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:21,"Two Tesla (TSLA +0.6%) factory workers in Fremont allege they were fired because they did not return to work during the lockdown even though they were on unpaid leave.
The pair claim they were targeted for voicing safety concerns. Other Tesla employees have complained anonymously about the Fremont conditions as well.
Elon Musk had told employees in a letter in May that they could stay at home if they felt uncomfortable coming back to work at that time.
Now read: The 'Power Of Dividends' Will Level Up Your Portfolio »",error
"Thu, Jun. 25",Stage is set for the 2021 Ford F150,https://seekingalpha.com/news/3586003-stage-is-set-for-2021-ford-fminus-150?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:22,"Ford (NYSE:F) is taking the wraps off its 2021 F-150 tonight and the stakes couldn't be higher.
Traditional and hybrid versions of the pickup are scheduled to be unveiled and the all-electric version is seen coming sometime in the next two years - in line or slightly later than new electric pickups from GM (NYSE:GM), Tesla (NASDAQ:TSLA), Rivian and Nikola (NASDAQ:NKLA).
Reports suggest the new F-Series will feature a lay-flat ""sleeper seat"" that mimics a first-class airline experience, Sync 4 infotainment with over-the-air update capabilities and a larger touch screen.
Putting it in perspective: Almost 900K F-Series pickups sold last year to generate about $42B in revenue, ranking near the iPhone among the biggest U.S. consumer products. On its own, F-Series is larger than McDonald's, Nike, Coca-Cola and Starbucks, and supports roughly half a million jobs.
""Stock performance over five years has been miserable, setting the stage for a rebound if current Ford management can optimize F150's cash and profit producing potential,"" writes Doron Levin in a Seeking Alpha article published before the launch.
Now read: Looking To Take Advantage Of Reverse Skew In Nikola »",error
"Wed, Jun. 24",Dodge shocks with top overall quality marks from JD Power,https://seekingalpha.com/news/3585836-dodge-shocks-top-overall-quality-marks-from-j-d-power?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:23,"Dodge (NYSE:FCAU) was the surprise winner of the 2020 J.D. Power U.S. Initial Quality Study to mark the first time a Detroit automaker topped the list in 34 years. The Dodge Durango and Dodge Challenger models both scored very high in their segments.
The research firm compiled the list based off of problems reported per 100 vehicles.
Kia (OTCPK:HYMLF), Chevrolet (NYSE:GM), Ram and Genesis rounded out the top five in the brand quality assessment. Land Rover (NYSE:TTM), Audi (OTCPK:AUDVF), Volvo (OTCPK:GELYY), Mercedes-Benz (OTCPK:DDAIF) and Jaguar were are the bottom. Tesla (NASDAQ:TSLA) did not meet the study award criteria to be ranked. In a development earlier today, EV automaker was reported to be the subject of a probe into Model S touchscreens.
Now read: General Motors: Insiders Are Buying Significantly, Should You Follow? »",error
"Wed, Jun. 24",NHTSA probes Tesla over Model S touchscreens,https://seekingalpha.com/news/3585739-nhtsa-probes-tesla-over-model-s-touchscreens?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:24,"The U.S. National Highway Traffic Safety Administration opens a preliminary evaluation into Tesla (NASDAQ:TSLA) Model S cars after receiving reports of touchscreen issues.
The investigation reportedly covers 63K Model S cars tied to complaints of media control unit failures due allegedly to early memory wear-out.
Tesla has been the subject of NHTSA probes in the past and come out the other side intact.
Shares of Tesla are down 1.00% premarket to $991.80.
See all stocks on the move »",error
"Tue, Jun. 23",Wait for a better entry point on Tesla  Morgan Stanley,https://seekingalpha.com/news/3585362-wait-for-better-entry-point-on-tesla-morgan-stanley?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:25,"Morgan Stanley analyst Adam Jonas explains the firm's Underweight rating on Tesla (NASDAQ:TSLA) and below-consensus price target in a fresh note to clients this morning.
""Our $650 price target is based on slightly more than 2 million units of annual deliveries by 2030 at 16.5% EBITDA margins. At $1,000, we believe the stock is discounting roughly 4 million units of unit volume by 2030 at our current margin forecast. If we take our current 2030 unit forecast, at an average ASP of $50,000, at Tesla's current 2025E EV/EBITDA multiple of roughly 15.5x, we would need to assume 26% EBITDA margins to arrive at Tesla's current share price (at 9% WACC),"" updates Jonas.
Jonas says that relative to consensus, the firm is more bullish on Tesla's long term volumes and relatively in line on margins. However, he thinks long-term investors will get another crack at Tesla at a lower entry point than the $1K level.
Shares of Tesla are up 0.44% premarket to $998.60 as they continue their dizzying 2020 run.
Now read: Betting On Innovation: How Much Longer Can The QQQ Continue To Outperform? (Podcast Transcript) »",error
