date,name,href,article,comments
"Tue, Jun. 30",Tesla investors frontrun deliveries report potential SP 500 inclusion,https://seekingalpha.com/news/3587442-tesla-investors-frontrun-deliveries-report-potential-s-and-p-500-inclusion?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:11,no_good,error
"Tue, Jun. 30",Germany called a bright spot for Tesla,https://seekingalpha.com/news/3587359-germany-called-bright-spot-for-tesla?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:12,no_good,error
"Tue, Jun. 30",Breaking even is looking super tight  Musk,https://seekingalpha.com/news/3587191-breaking-even-is-looking-super-tight-musk?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:13,no_good,error
"Mon, Jun. 29",EV pickups look for mainstream appeal,https://seekingalpha.com/news/3587122-ev-pickups-look-for-mainstream-appeal?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:14,"Wedbush Securities says the question of if Tesla (NASDAQ:TSLA) and Nikola (NASDAQ:NKLA) will be major players in the pickup market with their 2022 entrance will be an intriguing one as orders continue to be tabulated.
""Investors will question if this is a mass market pickup for both Tesla and Nikola going after Ford and GM with ~3 million pickup trucks sold annually in the US, or a more niche 'wow factor' model that will be more limited in demand/production scale and scope,"" writes analyst Dan Ives.
Ives thinks gauging pre-order activity and the trajectory for Badger over the next 3 to 6 months will be another key data point for investors to get their arms around the potential adoption curve of the EV truck market as they consider the share price of both companies.
The biggest target for the EV upstarts is pickup leader Ford (NYSE:F), which sells roughly 1M F-150s per year.
Nikola ended the day up 6.33% after starting to take Badger reservations, while Tesla is back over $1,000 with a 5.17% gain.
Now read: Lululemon +4% after acquiring at-home fitness player Mirror »",error
"Mon, Jun. 29",EV names lead auto sector higher,https://seekingalpha.com/news/3586938-ev-names-lead-auto-sector-higher?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:15,"Electric vehicle players Workhorse Group (WKHS +34.6%), Kandi Technologies (KNDI +12.6%), Electrameccanica Vehicles (SOLO +14.5%), Nikola (NKLA +10.6%), Tesla (TSLA +2.4%) and Nio (NIO +2.0%) are all higher on the day as investors keep flooding into EV-related names.
General Motors (GM +2.7%) and Ford (F +1.8%) are also starting off the week on a positive note, while there are broad gains across the auto supplier sector. Early advancers include Commercial Vehicle Group (CVGI +11.7%), Garrett Motion (GTX +8.3%), American Axle & Manufacturing (AXL +9.8%), Modine Manufacturing (MOD +6.1%), China Automotive Systems (CAAS +7.4%), Dana (DAN +8.9%) and Goodyear Tire & Rubber (GT +8.0%), Meritor (MTOR +6.8%) and Tenneco (TEN +8.1%). Sentiment has improved as manufacturers have bounce back from their shutdown period with output higher than some analysts anticipated.
The momentum trade in the EV sector has been going on for a few weeks.
See all stocks on the move »",error
"Mon, Jun. 29",Tesla seen topping Q2 deliveries expectations,https://seekingalpha.com/news/3586805-tesla-seen-topping-q2-deliveries-expectations?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:16,"Credit Suisse updates its forecast for Tesla's (NASDAQ:TSLA) Q2 deliveries and production tallies.
""Amid recent reports of a very robust June for Tesla sales, 2Q deliveries could be in the range of 90-100k, vs. sell-side consensus 70k and likely buyside consensus in the 80k range. While expectations have clearly risen, to the extent Tesla posts 2Q deliveries in the 90-100k range, we believe it would be a positive for the stock,"" updates analyst Dan Levy.
Levy sees Tesla's Q2 deliveries comprising about 31K from China, just under 35K from Fremont and around 25K from the global inventory coming into the quarter.
He forecasts Tesla produced about 76K to 88K units during the quarter, and also says a profitable quarter for Tesla is less of a radical idea than it was a few weeks ago.
Shares of Tesla are up 0.85% premarket to $967.85.
Now read: Keep The Faith In Canon »",error
"Sun, Jun. 28",Sector Watch Can Tesla deliveries lead autos as incentives wane,https://seekingalpha.com/news/3586733-sector-watch-can-tesla-deliveries-lead-autos-incentives-wane?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:17,no_good,error
"Fri, Jun. 26",Bezos a copycat  Elon Musk comments on Amazons Zoox purchase,https://seekingalpha.com/news/3586613-bezos-copycat-elon-musk-comments-on-amazons-zoox-purchase?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:18,no_good,error
"Fri, Jun. 26",Amazon drives into autonomous vehicle chase with Zoox acquisition,https://seekingalpha.com/news/3586522-amazon-drives-autonomous-vehicle-chase-zoox-acquisition?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:19,no_good,error
"Thu, Jun. 25",Tesla workers claim they were terminated for safety complaints,https://seekingalpha.com/news/3586227-tesla-workers-claim-terminated-for-safety-complaints?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:20,no_good,error
"Thu, Jun. 25",Stage is set for the 2021 Ford F150,https://seekingalpha.com/news/3586003-stage-is-set-for-2021-ford-fminus-150?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:21,"Ford (NYSE:F) is taking the wraps off its 2021 F-150 tonight and the stakes couldn't be higher.
Traditional and hybrid versions of the pickup are scheduled to be unveiled and the all-electric version is seen coming sometime in the next two years - in line or slightly later than new electric pickups from GM (NYSE:GM), Tesla (NASDAQ:TSLA), Rivian and Nikola (NASDAQ:NKLA).
Reports suggest the new F-Series will feature a lay-flat ""sleeper seat"" that mimics a first-class airline experience, Sync 4 infotainment with over-the-air update capabilities and a larger touch screen.
Putting it in perspective: Almost 900K F-Series pickups sold last year to generate about $42B in revenue, ranking near the iPhone among the biggest U.S. consumer products. On its own, F-Series is larger than McDonald's, Nike, Coca-Cola and Starbucks, and supports roughly half a million jobs.
""Stock performance over five years has been miserable, setting the stage for a rebound if current Ford management can optimize F150's cash and profit producing potential,"" writes Doron Levin in a Seeking Alpha article published before the launch.
Now read: Looking To Take Advantage Of Reverse Skew In Nikola »",error
"Wed, Jun. 24",Dodge shocks with top overall quality marks from JD Power,https://seekingalpha.com/news/3585836-dodge-shocks-top-overall-quality-marks-from-j-d-power?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:22,no_good,error
"Wed, Jun. 24",NHTSA probes Tesla over Model S touchscreens,https://seekingalpha.com/news/3585739-nhtsa-probes-tesla-over-model-s-touchscreens?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:23,no_good,error
"Tue, Jun. 23",Wait for a better entry point on Tesla  Morgan Stanley,https://seekingalpha.com/news/3585362-wait-for-better-entry-point-on-tesla-morgan-stanley?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:24,no_good,error
"Tue, Jun. 23",Nevada supports clean car program,https://seekingalpha.com/news/3585272-nevada-supports-clean-car-program?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:25,no_good,error
"Mon, Jun. 22",Cybertruck expected to hit the market strong,https://seekingalpha.com/news/3585157-cybertruck-expected-to-hit-market-strong?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:26,no_good,error
"Mon, Jun. 22",Tesla expected to offer 7seat Model Y,https://seekingalpha.com/news/3584843-tesla-expected-to-offer-7-seat-model-y?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:27,no_good,error
"Sat, Jun. 20",Tesla will postpone annual meeting Musk says,https://seekingalpha.com/news/3584749-tesla-will-postpone-annual-meeting-musk-says?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:28,no_good,error
"Fri, Jun. 19",JP Morgan favors these names for the stunning autosales recovery,https://seekingalpha.com/news/3584727-j-p-morgan-favors-names-for-stunning-auto-sales-recovery?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:Archived|line:29,no_good,error
"Fri, Jun. 19",JPMorgan pitches a tent in the Tesla bear camp,https://seekingalpha.com/news/3584603-jpmorgan-pitches-tent-in-tesla-bear-camp?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:30,no_good,error
"Fri, Jun. 19",BMW and Mercedes go down different selfdriving roads,https://seekingalpha.com/news/3584494-bmw-and-mercedes-go-down-different-self-driving-roads?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:31,no_good,error
"Thu, Jun. 18",Tesla pushes for sweet deal in Texas,https://seekingalpha.com/news/3584284-tesla-pushes-for-sweet-deal-in-texas?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:32,no_good,error
"Thu, Jun. 18",Tesla widening the gap with peers  Jefferies,https://seekingalpha.com/news/3584195-tesla-widening-gap-peers-jefferies?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:33,"Tesla (NASDAQ:TSLA) is comfortably back over $1,000 after Jefferies lifts its price target on Tesla to a Street-high (for base case, one-year timeframe) $1,200 from a prior PT of $650.
""Against expectations even a few months back, the gap with peers is widening, from product to battery tech/capacity,"" updates analyst Philippe Houchois.
""We see Covid-19 as an accelerator of the transition to EVs and renewables, from consumers and public policy. Tesla remains significantly ahead of peers in product range, capacity and technology. Near term, EV friendly incentives in the EU and lower priced Model 3 support H2 volume, making Tesla more resilient than peers.""
Tesla traded as high as $1,019.20 earlier in the session (see chart).
Now read: Strategic Allocation To Innovation: A Comparison To Emerging Markets »",error
"Thu, Jun. 18",Board drama at Tesla as shares near $1K again,https://seekingalpha.com/news/3584088-board-drama-tesla-shares-near-1k-again?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:34,no_good,error
"Wed, Jun. 17",Tesla gets a pass for drop in California demand,https://seekingalpha.com/news/3583842-tesla-gets-pass-for-drop-in-california-demand?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:35,no_good,error
"Wed, Jun. 17",Teslas California registrations fell 37 in recent months the WSJ reports,https://seekingalpha.com/news/3583742-teslas-california-registrations-fell-37-in-recent-months-wsj-reports?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:36,"Tesla (NASDAQ:TSLA) registrations for April and May fell a combined 37% y/y, the WSJ reported, citing Dominion Enterprises data.
The auto industry overall was expected to see declines of more than 30% in May, according to forecasts earlier this month. Most automakers report quarterly, so the extent will not be known for a while. Toyota (NYSE:TM), Hyundai (OTCPK:HYMLF) and Mazda's  (OTCPK:MZDAF) May figures were better than the industry as a whole, according to earlier reports.
The California figures were disputed by Tesla, which claims the data tracking is a poor corrollary for performance.
The timing of the data comes as Tesla's fortunes are rising in the East. Earlier this month, reports were that model 3 sales volume tripled in May from April, according to the China Passenger Car Association.
Now read: The New Ford F-150 Debuts June 25: Setting The Stage »",error
"Tue, Jun. 16",Model Y complaints start to stack up,https://seekingalpha.com/news/3583601-model-y-complaints-start-to-stack-up?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:37,no_good,error
"Tue, Jun. 16",Glencore to sell cobalt to Tesla for new car plants  FT,https://seekingalpha.com/news/3583333-glencore-to-sell-cobalt-to-tesla-for-new-car-plants-ft?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:38,no_good,error
"Mon, Jun. 15",Austin closes in on Tesla plant offer,https://seekingalpha.com/news/3583129-austin-closes-in-on-tesla-plant-offer?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:39,no_good,error
"Mon, Jun. 15",Biggest increase in three years for EV charging points,https://seekingalpha.com/news/3582859-biggest-increase-in-three-years-for-ev-charging-points?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:40,no_good,error
"Mon, Jun. 15",Main Street has killed Wall Street during this rally Here are the stocks theyre buying,https://seekingalpha.com/news/3582858-main-street-killed-wall-street-during-this-rally-are-stocks-buying?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:41,"Many investors have focused on the apparent disconnect between the economy and stock valuations. More recently, the conversation has turned to the disconnect between Wall and Main Street, Goldman Sachs analyst David Kostin and team write in their U.S. Weekly Kickstart. The S&P 500 has rallied 36% off its lows. But hedge and mutual funds followed by Goldman Sachs gained 45% over the same period. While, astonishingly, a basket of the most popular stocks traded by so-call retail investors has returned 61%.
What are DIY investors buying? Below are the 20 stocks within Goldman's ""Retail Trading Favorites"" basket that have outperformed the S&P 500 and hedge/mutual fund indices:
Value stocks, which have been out of vogue, saw brief resurgence in May, but most of that evaporated in June.
Still, analysts write, ""We believe most investors should include some value exposure in their portfolios, although the degree will depend on time horizon and risk tolerance."" But then there's this, ""In the medium-term, the challenge is determining which laggards are value opportunities and which leaders will experience fundamental growth that justifies current elevated valuations.""
Tech stocks will continue to outperform, they say, while stocks with weak balance sheets have recovered far less during the recent value rally.
Main Street euphoria is at least to some extent responsible for the market's wild V-turn. This week, we should get more visibility into whether Main Street will defend its buying with more buying, or whether it will panic and drive prices lower.
What do Seeking Alpha's market prognosticators think the next couple weeks bring?
Now read: MGM Resorts: Blackstone Holds A Possible Winning Hand As Big Gaming Pivots Towards Consolidation »",error
"Sat, Jun. 13",EV semis move toward proof of concept,https://seekingalpha.com/news/3582826-ev-semis-move-toward-proof-of-concept?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:42,"It looks like it will be a slow haul for the EV truck industry with Tesla (NASDAQ:TSLA) not bringing its Semi to the market until 2021 at the earliest and Nikola (NASDAQ:NKLA) shooting for a 2023 debut. When the EV trucks do arrive, it is anticipated that they will be used primarily for important short-haul applications until long-haul infrastructure is built out. Looking further ahead, equipment research group Rhein Associates forecasts electric and hybrid models will account for about 6.8% of the North American market for heavy trucks by 2030.
Still, there are reasons to take notice of the burgeoning industry. Last week, Elon Musk told employees that it's time to go all out and bring the Tesla Semi to volume production. At the same time, shares of Nikola soared off excitement over the company's pickup launch.
In a positive development, large companies have shown a willingness to test the electric trucks when they are ready. Walmart (NYSE:WMT), FedEx (NYSE:FDX), UPS (NYSE:UPS), Ryder (NYSE:R) and J.B. Hunt Transport Services (NASDAQ:JBHT) have all placed reservations for Tesla's Semi, while U.S. Xpress (NYSE:USX) and Anheuser-Busch InBev (NYSE:BUD) have reservations in for Nikola's hydrogen-electric trucks. If all goes well with the proof-of-concept tests, truckers like Knight-Swift Transportation (NYSE:KNX), Heartland Express (NASDAQ:HTLD), Schneider National (NYSE:SNDR), YRC Worldwide (NASDAQ:YRCW), Old Dominion Freight Line (NASDAQ:ODFL) and USA Truck (NASDAQ:USAK) could also dabble with EV semis.
Now read: Activity In Shanghai Paints Bullish Picture For Tesla »",error
"Fri, Jun. 12",Tesla cut at Morgan Stanley on Amazon China risk,https://seekingalpha.com/news/3582602-tesla-cut-morgan-stanley-on-amazon-china-risk?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:43,no_good,error
"Fri, Jun. 12",GM over Tesla for the near term  Goldman Sachs,https://seekingalpha.com/news/3582550-gm-over-tesla-for-near-term-goldman-sachs?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:44,no_good,error
"Thu, Jun. 11",Nowhere to hide in auto sector today,https://seekingalpha.com/news/3582369-nowhere-to-hide-in-auto-sector-today?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:45,"Auto stocks are being sold off on shaken confidence that a sales recovery will be a straight line back up.
Detroit majors Ford (F -9.0%), General Motors (GM -6.5%) and Fiat Chrysler Automobiles (FCAU -8.0%) are all lower on the day, as is California-based Tesla (TSLA -3.1%) with a move back below $1,000.
Japanese automakers Toyota (TM -4.4%), Nissan (OTCPK:NSANY -9.6%) and Honda (HMC -7.5%) are also in reverse.
Over in Frankfurt, Volkswagen is showing a 10.06% drop, Daimler (OTCPK:DDAIF) is off 9.11% and BMW (OTCPK:BMWYY) is down 6.90%.
It's not a great day for all EV high-flyers as well, with Nikola (NKLA -6.2%), Kandi Technologies (KNDI -4.4%), Nio (NIO -5.2%) and Workhorse Group (WKHS -8.5%) all lower. Related names like Plug Power (PLUG -13.3%) and Ballard Power Systems (BLDP -16.2%) are also getting hit.
As for OEM suppliers, Tenneco (TEN -18.4%), Adient (ADNT -12.8%) and Dana (DAN -12.1%) are showing some of the biggest declines.
See all stocks on the move »",error
"Thu, Jun. 11",China Model 3s approved with LFP batteries,https://seekingalpha.com/news/3582162-china-model-3s-approved-lfp-batteries?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:46,no_good,error
"Wed, Jun. 10",Tesla tops $1000,https://seekingalpha.com/news/3581925-tesla-tops-1000?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:47,no_good,error
"Wed, Jun. 10",Tesla nears $1000 as investors eye Semi China potential,https://seekingalpha.com/news/3581845-tesla-nears-1000-investors-eye-semi-china-potential?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:48,no_good,error
"Wed, Jun. 10",Tesla tagged with higher price target at Wedbush,https://seekingalpha.com/news/3581813-tesla-tagged-higher-price-target-wedbush?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:49,no_good,error
"Tue, Jun. 09",Time for a Nikola Tesla ETF,https://seekingalpha.com/news/3581562-time-for-nikola-tesla-etf?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:50,no_good,error
"Tue, Jun. 09",Tesla just getting started  Ron Baron,https://seekingalpha.com/news/3581465-tesla-just-getting-started-ron-baron?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:51,no_good,error
